,Y,2019-12-03,568425,"Accn1 protein, rat","Accn1 protein, rat",P,683254,,568425,"Asic2 protein, rat","Accn1 protein, rat",T,683254,
,Y,2019-12-03,265,amyrin acetate,beta-amyrin acetate,T,70343,,265,beta-amyrin acetate,beta-amyrin acetate,P,70343,
,Y,2019-12-03,412319,"PE1 protein, mouse","PE1 protein, mouse",P,522490,,412319,"ETV3 protein, mouse","PE1 protein, mouse",T,522490,
,Y,2019-12-03,410229,"Gpr97 protein, mouse","Gpr97 protein, mouse",P,418346,,410229,"Adgrg3 protein, mouse","Gpr97 protein, mouse",T,418346,
,Y,2019-12-03,622725,MEDI3902,MEDI3902,P,932208,,622725,gremubamab,MEDI3902,T,932208,
,Y,2019-12-03,626035,CFZ533,CFZ533,P,939501,,626035,iscalimab,CFZ533,T,939501,
,Y,2019-12-03,627635,E6011,E6011,P,944930,,627635,quetmolimab,E6011,T,944930,
,Y,2019-12-03,625350,PF-05335810,PF-05335810,P,937419,,625350,ralpancizumab,PF-05335810,T,937419,
,Y,2019-12-03,581856,GSK249320,GSK249320,P,846045,,581856,refanezumab,GSK249320,T,846045,
,Y,2019-12-03,535048,"C16orf53 protein, human","C16orf53 protein, human",P,768531,,535048,"PAGR1 protein, human","C16orf53 protein, human",T,768531,
,Y,2019-12-03,475848,6B1 IgG4 monoclonal antibody,Lerdelimumab,T,546839,,475848,Lerdelimumab,Lerdelimumab,P,546839,
,Y,2019-12-03,530729,FR255734 monoclonal antibody,FR255734,T,723997,,530729,FR255734,FR255734,P,723997,
,Y,2019-12-03,599914,KAF156,KAF156,P,884347,,599914,ganaplacide,KAF156,T,884347,
,Y,2019-12-03,594598,"asporin protein, rat","asporin protein, rat",P,873791,,594598,"Aspn protein, rat","asporin protein, rat",T,873791,
,Y,2019-12-03,595966,"ATAD3 protein, rat","ATAD3 protein, rat",P,876695,,595966,"Atad3a protein, rat","ATAD3 protein, rat",T,876695,
,Y,2019-12-03,623227,"Axud1 protein, rat","Axud1 protein, rat",P,933110,,623227,"Csrnp1 protein, rat","Axud1 protein, rat",T,933110,
,R,2019-12-03,622723,BPS804,0,,,,622723,setrusumab,FPW3780T3E,,,
,R,2019-12-03,512901,"Nol1 protein, mouse",0,,,,512901,"Nop2 protein, mouse",EC 2.1.1.-,,,
,R,2019-12-03,575176,"Neurl4 protein, human",0,,,,575176,"Neurl4 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,532954,"Mycbp2 protein, mouse",0,,,,532954,"Mycbp2 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,625403,foralumab,0,,,,625403,foralumab,J43DL56H6M,,,
,R,2019-12-03,610655,LY3015014,0,,,,610655,frovocimab,87PZ955YRB,,,
,R,2019-12-03,488924,"fruB protein, E coli",0,,,,488924,"fruB protein, E coli",EC 2.7.-,,,
,R,2019-12-03,569270,Sym004 antibody,0,,,,569270,futuximab,B37J680LX0,,,
,R,2019-12-03,545764,AMG 479,0,,,,545764,ganitumab,CK1441RCZ8,,,
,R,2019-12-03,265,amyrin acetate,266N1630AL,,,,265,beta-amyrin acetate,AM1H7102OC,,,
,R,2019-12-03,491816,"gbp protein, zebrafish",0,,,,491816,"gbp protein, zebrafish",EC 2.7.-,,,
,R,2019-12-03,78676,granuloma initiation factor,0,,,,78676,granuloma initiation factor,EC 5.-,,,
,R,2019-12-03,622725,MEDI3902,0,,,,622725,gremubamab,3QG7W0YN2Z,,,
,R,2019-12-03,620843,ASG15ME,0,,,,620843,sirtratumab vedotin,E58B6OP5QG,,,
,R,2019-12-03,518149,"CP-870,893",0,,,,518149,selicrelumab,0O39RGI33V,,,
,R,2019-12-03,491763,"skp-1 protein, C elegans",0,,,,491763,"skp-1 protein, C elegans",EC 2.3.2.23,,,
,R,2019-12-03,619670,sonepcizumab,0,,,,619670,sonepcizumab,O4T5UXS4P2,,,
,R,2019-12-03,85809,"stenoxobin protein, Lachesis muta stenophyrs",154303-71-6,,,,85809,"stenoxobin protein, Lachesis muta stenophyrs",EC 3.4.21.-,,,
,R,2019-12-03,497205,"NOSIP protein, rat",0,,,,497205,"NOSIP protein, rat",EC 2.3.2.27,,,
,R,2019-12-03,500976,"Nak1 protein, S pombe",0,,,,500976,"Nak1 protein, S pombe",EC 2.7.11.1,,,
,R,2019-12-03,583570,biphenyl-2-ylcarbamic acid 1-(2-((4-(4-carbamoylpiperidin-1-ylmethyl)benzoyl)methylamino)ethyl)piperidin-4-yl ester,0,,,,583570,revefenacin,G2AE2VE07O,,,
,R,2019-12-03,578830,"ALDH1B1 protein, mouse",EC 1.1.1.70.,,,,578830,"ALDH1B1 protein, mouse",EC 1.2.1.3,,,
,R,2019-12-03,515028,"ALDH1A1 protein, mouse",EC 1.2.1.3,,,,515028,"ALDH1A1 protein, mouse",EC 1.2.1.36,,,
,R,2019-12-03,510223,"ALDH1A1 protein, human",EC 1.2.1.3,,,,510223,"ALDH1A1 protein, human",EC 1.2.1.36,,,
,R,2019-12-03,512722,"Aldh1a2 protein, mouse",EC 1.14.13.-,,,,512722,"Aldh1a2 protein, mouse",EC 1.2.1.36,,,
,R,2019-12-03,621572,JTE-052,0,,,,621572,delgocitinib,9L0Q8KK220,,,
,R,2019-12-03,557897,NC 6004,0,,,,557897,demplatin pegraglumer,9DMG482P0R,,,
,R,2019-12-03,623340,ZYAN1 compound,0,,,,623340,desidustat,Y962PQA4KS,,,
,R,2019-12-03,512996,"9,10-dimethoxy-2-(2,4,6-trimethylphenylimino)-3-(N-carbamoyl-2-aminoethyl)-3,4,6,7-tetrahydro-2H-pyrimidino(6,1-a)isoquinolin-4-one",0,,,,512996,ensifentrine,3E3D8T1GIX,,,
,R,2019-12-03,486343,"Mfng protein, mouse",0,,,,486343,"Mfng protein, mouse",EC 2.4.1.-,,,
,R,2019-12-03,491316,"Rfng protein, rat",0,,,,491316,"Rfng protein, rat",EC 2.4.1.-,,,
,R,2019-12-03,527670,"CTMP protein, mouse",0,,,,527670,"CTMP protein, mouse",EC 3.1.2.2,,,
,R,2019-12-03,600718,MEDI4893,0,,,,600718,suvratoxumab,4L1997J4DF,,,
,R,2019-12-03,414128,monoclonal antibody anti-SSEA-1,0,,,,414128,techneticum TC-99M fanolesomab,AMF7KOE318,,,
,R,2019-12-03,109626,technetium Tc 99m-nofetumomab merpentan,0,,,,109626,technetium Tc 99m-nofetumomab merpentan,9UFH75HT7S,,,
,R,2019-12-03,626235,ABBV-399,0,,,,626235,telisotuzumab vedotin,976X9VXC3Z,,,
,R,2019-12-03,498417,"telomerase p80 protein, Tetrahymena",0,,,,498417,"telomerase p80 protein, Tetrahymena",EC 2.7.7.49,,,
,R,2019-12-03,581064,GNbAC1 monoclonal antibody,0,,,,581064,temelimab,T32CR1A69R,,,
,R,2019-12-03,503312,"tension-induced inhibited protein, mouse",0,,,,503312,"tension-induced inhibited protein, mouse",EC 2.1.1.-,,,
,R,2019-12-03,551399,R-1507 monoclonal antibody,0,,,,551399,teprotumumab,Y64GQ0KC0A,,,
,R,2019-12-03,622721,tezepelumab,0,,,,622721,tezepelumab,RJ1IW3B4QX,,,
,R,2019-12-03,628586,ABBV-8E12,0,,,,628586,tilavonemab,MY9Z7GDJ8J,,,
,R,2019-12-03,585159,OPN-305,0,,,,585159,tomaralimab,P45C2W27DU,,,
,R,2019-12-03,470330,monoclonal antibody IDEC131,252662-47-8,,,,470330,toralizumab,KX44A9HM0B,,,
,R,2019-12-03,403312,"Pign protein, mouse",0,,,,403312,"Pign protein, mouse",EC 2.7.-,,,
,R,2019-12-03,498418,"Pir protein, mouse",0,,,,498418,"Pir protein, mouse",EC 1.13.11.-,,,
,R,2019-12-03,443126,"Prnpip1protein, mouse",0,,,,443126,"Prnpip1protein, mouse",EC 3.1.-,,,
,R,2019-12-03,103532,"RAD54L protein, human",0,,,,103532,"RAD54L protein, human",EC 3.6.4.-,,,
,Y,2019-12-03,584497,"6-chloro-2-ethyl-N-(4-(4-(4-(trifluoromethoxy)phenyl)piperidin-1-yl)benzyl) imidazo(1,2-a)pyridine-3-carboxamide","6-chloro-2-ethyl-N-(4-(4-(4-(trifluoromethoxy)phenyl)piperidin-1-yl)benzyl) imidazo(1,2-a)pyridine-3-carboxamide",P,851188,,584497,telacebec,"6-chloro-2-ethyl-N-(4-(4-(4-(trifluoromethoxy)phenyl)piperidin-1-yl)benzyl) imidazo(1,2-a)pyridine-3-carboxamide",T,851188,
,Y,2019-12-03,629749,LY3298176,LY3298176,P,951323,,629749,tirzepatide,LY3298176,T,951323,
,Y,2019-12-03,471981,"RFWD2 protein, human","RFWD2 protein, human",P,663501,,471981,"COP1 protein, human","RFWD2 protein, human",T,663501,
,Y,2019-12-03,493780,"Rga protein, mouse","Rga protein, mouse",P,622755,,493780,"Slc50a1 protein, mouse","Rga protein, mouse",T,622755,
,Y,2019-12-03,414128,monoclonal antibody anti-SSEA-1,monoclonal antibody anti-SSEA-1,P,426198,,414128,techneticum TC-99M fanolesomab,monoclonal antibody anti-SSEA-1,T,426198,
,Y,2019-12-03,114976,technetium Tc 99m arcitumomab,technetium Tc 99m arcitumomab,P,326267,,114976,technetium Tc-99m arcitumomab,technetium Tc 99m arcitumomab,T,326267,
,Y,2019-12-03,626235,ABBV-399,ABBV-399,P,940316,,626235,telisotuzumab vedotin,ABBV-399,T,940316,
,Y,2019-12-03,581064,GNbAC1 monoclonal antibody,GNbAC1 monoclonal antibody,P,844161,,581064,temelimab,GNbAC1 monoclonal antibody,T,844161,
,Y,2019-12-03,485917,"MLF1IP protein, human","MLF1IP protein, human",P,588460,,485917,"CENPU protein, human","MLF1IP protein, human",T,588460,
,Y,2019-12-03,484872,"PTPLB protein, human","PTPLB protein, human",P,586131,,484872,"HACD2 protein, human","PTPLB protein, human",T,586131,
,Y,2019-12-03,531101,"GPR124 protein, human","GPR124 protein, human",P,725001,,531101,"ADGRA2 protein, human","GPR124 protein, human",T,725001,
,Y,2019-12-03,515617,"C17orf81 protein, human","C17orf81 protein, human",P,701084,,515617,"ELP5 protein, human","C17orf81 protein, human",T,701084,
,Y,2019-12-03,577767,"SLO3 protein, human","SLO3 protein, human",P,836351,,577767,"KCNU1 protein, human","SLO3 protein, human",T,836351,
,R,2019-12-03,582345,anifrolumab,0,,,,582345,anifrolumab,38RL9AE51Q,,,
,Y,2019-12-03,495971,"Kras2 protein, mouse","Kras2 protein, mouse",P,629775,,495971,"Hras protein, mouse","Kras2 protein, mouse",T,629775,
,Y,2019-12-03,485884,"Ric8 protein, mouse","Ric8 protein, mouse",P,794785,,485884,"Ric8a protein, mouse","Ric8 protein, mouse",T,794785,
,Y,2019-12-03,480493,"slick protein, rat","slick protein, rat",P,568562,,480493,"Kcnt2 potassium channel, rat","slick protein, rat",T,568562,
,Y,2019-12-03,518649,"Slick protein, mouse","Kcnt2 protein, mouse",T,903380,,518649,"Kcnt2 protein, mouse","Kcnt2 protein, mouse",P,903380,
,Y,2019-12-03,484283,"Tinagl protein, mouse","Tinagl protein, mouse",P,637706,,484283,"Tinagl1 protein, mouse","Tinagl protein, mouse",T,637706,
,Y,2019-12-03,568345,Omegaven,Omegaven,P,945879,,568345,fish oil triglycerides,Omegaven,T,945879,
,Y,2019-12-03,495239,"Sep15 protein, mouse","Sep15 protein, mouse",P,603085,,495239,"Selenof protein, mouse","Sep15 protein, mouse",T,603085,
,Y,2019-12-03,495945,"Card15 protein, mouse","Card15 protein, mouse",P,629714,,495945,"Nod2 protein, mouse","Card15 protein, mouse",T,629714,
,Y,2019-12-03,505045,ST-246,ST-246,P,657551,,505045,Tecovirimat,ST-246,T,657551,
,Y,2019-12-03,581313,MEK162,MEK162,P,844906,,581313,binimetinib,MEK162,T,844906,
,Y,2019-12-03,495994,"Aox3l1 protein, mouse","Aox3l1 protein, mouse",P,793953,,495994,"AOX2 protein, mouse","Aox3l1 protein, mouse",T,793953,
,Y,2019-12-03,496391,"PRIP-1 protein, mouse","PRIP-1 protein, mouse",P,630734,,496391,"Plcl1 protein, mouse","PRIP-1 protein, mouse",T,630734,
,Y,2019-12-03,595957,"netupitant, palosentron drug combination","netupitant, palosentron drug combination",P,876667,,595957,fosnetupitant and palonosetron,"netupitant, palosentron drug combination",T,876667,
,Y,2019-12-03,447941,(177lutetium-DOTA(O)Tyr3)octreotate,(177lutetium-DOTA(O)Tyr3)octreotate,P,483745,,447941,lutetium Lu 177 dotatate,(177lutetium-DOTA(O)Tyr3)octreotate,T,483745,
,Y,2019-12-03,496555,"Myst4 protein, mouse","Myst4 protein, mouse",P,610098,,496555,"Kat6b protein, mouse","Myst4 protein, mouse",T,610098,
,Y,2019-12-03,496568,"Adrbk1 protein, mouse","Adrbk1 protein, mouse",P,606906,,496568,"GRK2 protein, mouse","Adrbk1 protein, mouse",T,606906,
,Y,2019-12-03,586691,IPI-145,IPI-145,P,855762,,586691,duvelisib,IPI-145,T,855762,
,Y,2019-12-03,501285,"Edg3 protein, mouse","Edg3 protein, mouse",P,643653,,501285,"S1pr3 protein, mouse","Edg3 protein, mouse",T,643653,
,Y,2019-12-03,582670,CH5424802,CH5424802,P,847600,,582670,alectinib,CH5424802,T,847600,
,Y,2019-12-03,574276,GDC-0973,GDC-0973,P,828027,,574276,cobimetinib,GDC-0973,T,828027,
,Y,2019-12-03,501905,"Tcfcp2 protein, mouse","Tcfcp2 protein, mouse",P,645452,,501905,"Tfcp2 protein, mouse","Tcfcp2 protein, mouse",T,645452,
,Y,2019-12-03,613803,trifluridine tipiracil,trifluridine tipiracil,P,914940,,613803,trifluridine and tipiracil,trifluridine tipiracil,T,914940,
,Y,2019-12-03,578834,"8-((1-(3,5-bis(trifluoromethyl)phenyl)ethoxy)methyl)-8-phenyl-1,7-diazaspiro(4,5)decan-2-one","8-((1-(3,5-bis(trifluoromethyl)phenyl)ethoxy)methyl)-8-phenyl-1,7-diazaspiro(4,5)decan-2-one",P,838476,,578834,rolapitant,"8-((1-(3,5-bis(trifluoromethyl)phenyl)ethoxy)methyl)-8-phenyl-1,7-diazaspiro(4,5)decan-2-one",T,838476,
,Y,2019-12-03,602665,"NEDL2 protein, mouse","NEDL2 protein, mouse",P,890449,,602665,"Hecw2 protein, mouse","NEDL2 protein, mouse",T,890449,
,Y,2019-12-03,549273,BMS-790052,BMS-790052,P,771029,,549273,daclatasvir,BMS-790052,T,771029,
,Y,2019-12-03,501907,"P42POP protein, mouse","P42POP protein, mouse",P,645457,,501907,"Mypop protein, mouse","P42POP protein, mouse",T,645457,
,Y,2019-12-03,502250,"Supt6h protein, mouse","Supt6h protein, mouse",P,523628,,502250,"Supt6 protein, mouse","Supt6h protein, mouse",T,523628,
,Y,2019-12-03,570288,"5-(4-chloro-3-(4-ethoxybenzyl)phenyl)-1-hydroxymethyl-6,8-dioxabicyclo(3.2.1)octane-2,3,4-triol",ertugliflozin,T,894393,,570288,ertugliflozin,ertugliflozin,P,894393,
,Y,2019-12-03,558235,IPH 2101,IPH-2101,T,790779,,558235,IPH-2101,IPH-2101,P,790779,
,Y,2019-12-03,588473,AIC246,AIC246,P,859905,,588473,letermovir,AIC246,T,859905,
,Y,2019-12-03,496933,"bet3 protein, mouse","bet3 protein, mouse",P,631984,,496933,"Trappc3 protein, mouse","bet3 protein, mouse",T,631984,
,Y,2019-12-03,590451,5-(4-ethylpiperazin-1-ylmethyl)pyridin-2-yl)-(5-fluoro-4-(7-fluoro-3-isopropyl-2-methyl-3H-benzimidazol-5-yl)pyrimidin-2-yl)amine,5-(4-ethylpiperazin-1-ylmethyl)pyridin-2-yl)-(5-fluoro-4-(7-fluoro-3-isopropyl-2-methyl-3H-benzimidazol-5-yl)pyrimidin-2-yl)amine,P,864036,,590451,abemaciclib,5-(4-ethylpiperazin-1-ylmethyl)pyridin-2-yl)-(5-fluoro-4-(7-fluoro-3-isopropyl-2-methyl-3H-benzimidazol-5-yl)pyrimidin-2-yl)amine,T,864036,
,Y,2019-12-03,27837,milbemycin,moxidectin,T,120159,,27837,moxidectin,moxidectin,P,120159,
,Y,2019-12-03,589253,"2-amino-N-(7-methoxy-8-(3-morpholinopropoxy)-2,3-dihydroimidazo(1,2-c)quinazolin-4-yl)pyrimidine-5-carboxamide","2-amino-N-(7-methoxy-8-(3-morpholinopropoxy)-2,3-dihydroimidazo(1,2-c)quinazolin-4-yl)pyrimidine-5-carboxamide",P,861420,,589253,copanlisib,"2-amino-N-(7-methoxy-8-(3-morpholinopropoxy)-2,3-dihydroimidazo(1,2-c)quinazolin-4-yl)pyrimidine-5-carboxamide",T,861420,
,Y,2019-12-03,592580,1-(2-(1H-benzo(d)imidazol-2-yl)-1-methylpiperidin-4-yl)-3-(4-cyanophenyl)urea,1-(2-(1H-benzo(d)imidazol-2-yl)-1-methylpiperidin-4-yl)-3-(4-cyanophenyl)urea,P,869513,,592580,glasdegib,1-(2-(1H-benzo(d)imidazol-2-yl)-1-methylpiperidin-4-yl)-3-(4-cyanophenyl)urea,T,869513,
,Y,2019-12-03,498520,"Gli protein, mouse","Gli protein, mouse",P,590901,,498520,"Gli1 protein, mouse","Gli protein, mouse",T,590901,
,Y,2019-12-03,499034,"Wdr8 protein, mouse","Wdr8 protein, mouse",P,554961,,499034,"Wrap73 protein, mouse","Wdr8 protein, mouse",T,554961,
,Y,2019-12-03,499372,"Sfrs2 protein, mouse","Sfrs2 protein, mouse",P,608306,,499372,"SRSF2 protein, mouse","Sfrs2 protein, mouse",T,608306,
,Y,2019-12-03,598580,AP26113,brigatinib,T,925611,,598580,brigatinib,brigatinib,P,925611,
,Y,2019-12-03,500145,"Ces2 protein, mouse","Ces2 protein, mouse",P,777945,,500145,"Ces2c protein, mouse","Ces2 protein, mouse",T,777945,
,Y,2019-12-03,502406,"Fath protein, mouse","Fath protein, mouse",P,519279,,502406,"fat1 protein, mouse","Fath protein, mouse",T,519279,
,Y,2019-12-03,502605,"Txkng protein, mouse","Txkng protein, mouse",P,832359,,502605,"Txlng protein, mouse","Txkng protein, mouse",T,832359,
,Y,2019-12-03,605779,"tripartite motif 12c, protein, mouse","tripartite motif 12c, protein, mouse",P,896963,,605779,"TRIM12c protein, mouse","tripartite motif 12c, protein, mouse",T,896963,
,Y,2019-12-03,502747,"Large protein, mouse","Large protein, mouse",P,648333,,502747,"Large1 protein, mouse","Large protein, mouse",T,648333,
,Y,2019-12-03,507441,"Krt1-9 protein, mouse","KRT9 protein, mouse",T,665352,,507441,"KRT9 protein, mouse","KRT9 protein, mouse",P,665352,
,Y,2019-12-03,590786,"7-amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo(4,3-h)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile","7-amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo(4,3-h)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile",P,864745,,590786,lorlatinib,"7-amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo(4,3-h)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile",T,864745,
,R,2019-12-03,558499,MLN1202,0,,,,558499,plozalizumab,4XG66BMN0D,,,
,Y,2019-12-03,553250,"Fbxo18 protein, mouse","Fbxo18 protein, mouse",P,837234,,553250,"Fbh1 protein, mouse","Fbxo18 protein, mouse",T,837234,
,Y,2019-12-03,553475,"Gm11428 protein, mouse","Gm11428 protein, mouse",P,793305,,553475,"Wfdc17 protein, mouse","Gm11428 protein, mouse",T,793305,
,Y,2019-12-03,507873,"Card4 protein, mouse","Card4 protein, mouse",P,678319,,507873,"Nod1 protein, mouse","Card4 protein, mouse",T,678319,
,Y,2019-12-03,508320,"Agc1 protein, mouse","Agc1 protein, mouse",P,608026,,508320,"Acan protein, mouse","Agc1 protein, mouse",T,608026,
,Y,2019-12-03,508323,"Cspg2 protein, mouse","Cspg2 protein, mouse",P,592333,,508323,"Vcan protein, mouse","Cspg2 protein, mouse",T,592333,
,Y,2019-12-03,568466,"Fam132a protein, mouse","Fam132a protein, mouse",P,862606,,568466,"C1qtnf12 protein, mouse","Fam132a protein, mouse",T,862606,
,Y,2019-12-03,551479,PF-03475952 monoclonal antibody,PF-03475952 monoclonal antibody,P,794732,,551479,PF-03475952,PF-03475952 monoclonal antibody,T,794732,
,Y,2019-12-03,568331,"9430020K01Rik protein, mouse","9430020K01Rik protein, mouse",P,814761,,568331,"JCAD protein, mouse","9430020K01Rik protein, mouse",T,814761,
,Y,2019-12-03,568642,"Wisp3 protein, mouse","Wisp3 protein, mouse",P,814460,,568642,"CCN6 protein, mouse","Wisp3 protein, mouse",T,814460,
,Y,2019-12-03,570954,"Naa38 protein, mouse","Naa38 protein, mouse",P,819991,,570954,"Lsm8 protein, mouse","Naa38 protein, mouse",T,819991,
,Y,2019-12-03,547159,"BAP31 protein, rat","BAP31 protein, rat",P,765920,,547159,"Bcap31 protein, rat","BAP31 protein, rat",T,765920,
,Y,2019-12-03,493357,"Bcmo1 protein, rat","Bcmo1 protein, rat",P,822753,,493357,"Bco1 protein, rat","Bcmo1 protein, rat",T,822753,
,Y,2019-12-03,504480,"Besh3 protein, rat","Besh3 protein, rat",P,655247,,504480,"Ngef protein, rat","Besh3 protein, rat",T,655247,
,Y,2019-12-03,434956,"BINP-binding protein, rat","BINP-binding protein, rat",P,497145,,434956,"Tmem158 protein, rat","BINP-binding protein, rat",T,497145,
,Y,2019-12-03,598703,"Bmal1 protein, rat","Bmal1 protein, rat",P,882059,,598703,"Arntl protein, rat","Bmal1 protein, rat",T,882059,
,Y,2019-12-03,491091,"Sprr2a protein, mouse","Sprr2a protein, mouse",P,592402,,491091,"Sprr2a1 protein, mouse","Sprr2a protein, mouse",T,592402,
,Y,2019-12-03,492979,"Clca6 protein, mouse","Clca6 protein, mouse",P,617708,,492979,"Clca4a protein, mouse","Clca6 protein, mouse",T,617708,
,Y,2019-12-03,493210,"Cyp4a12 protein, mouse","Cyp4a12 protein, mouse",P,655643,,493210,"Cyp4a12a protein, mouse","Cyp4a12 protein, mouse",T,655643,
,Y,2019-12-03,11010,leucomethylene blue,leucomethylene blue,P,86992,,11010,hydromethylthionine,leucomethylene blue,T,86992,
,Y,2019-12-03,80901,CGP 47645,CGP 47645,P,245987,,80901,leflutrozole,CGP 47645,T,245987,
,Y,2019-12-03,55732,vatinoxan hydrochloride,vatinoxan,T,968056,,55732,vatinoxan,vatinoxan,P,968056,
,Y,2019-12-03,115464,HU23F2G,HU23F2G,P,327338,,115464,rovelizumab,HU23F2G,T,327338,
,Y,2019-12-03,551399,R-1507 monoclonal antibody,teprotumumab,T,899750,,551399,teprotumumab,teprotumumab,P,899750,
,Y,2019-12-03,553182,GMI-1070,GMI-1070,P,780023,,553182,rivipansel,GMI-1070,T,780023,
,Y,2019-12-03,413482,"Gsdm protein, mouse","Gsdm protein, mouse",P,523064,,413482,"Gsdma protein, mouse","Gsdm protein, mouse",T,523064,
,Y,2019-12-03,414729,"Lrdd protein, mouse","Lrdd protein, mouse",P,582287,,414729,"Pidd1 protein, mouse","Lrdd protein, mouse",T,582287,
,Y,2019-12-03,415826,"Apob protein, mouse","Apob protein, mouse",P,637673,,415826,"Apobr protein, mouse","Apob protein, mouse",T,637673,
,Y,2019-12-03,489041,"Epb4.9 protein, mouse","Epb4.9 protein, mouse",P,601738,,489041,"Dmtn protein, mouse","Epb4.9 protein, mouse",T,601738,
,Y,2019-12-03,488402,"Epb4.1l3 protein, mouse","Epb4.1l3 protein, mouse",P,792202,,488402,"Epb41l3 protein, mouse","Epb4.1l3 protein, mouse",T,792202,
,Y,2019-12-03,488930,"Rps3a protein, mouse","Rps3a protein, mouse",P,599907,,488930,"Rsp3a1 protein, mouse","Rps3a protein, mouse",T,599907,
,Y,2019-12-03,489408,"Lect1 protein, mouse","Lect1 protein, mouse",P,568270,,489408,"Cnmd protein, mouse","Lect1 protein, mouse",T,568270,
,Y,2019-12-03,490066,"Pla2g16 protein, mouse","Pla2g16 protein, mouse",P,799344,,490066,"Plaat3 protein, mouse","Pla2g16 protein, mouse",T,799344,
,Y,2019-12-03,597571,XmAb 2513,XmAb 2513,P,879461,,597571,XMAB-2513,XmAb 2513,T,879461,
,Y,2019-12-03,585625,IMGN529,IMGN529,P,853564,,585625,naratuximab emtansine,IMGN529,T,853564,
,Y,2019-12-03,612881,CIM331,nemolizumab,T,918982,,612881,nemolizumab,nemolizumab,P,918982,
,Y,2019-12-03,622723,BPS804,BPS804,P,932024,,622723,setrusumab,BPS804,T,932024,
,Y,2019-12-03,496269,cortexolone 17alpha-propionate,cortexolone 17alpha-propionate,P,630448,,496269,Clascoterone,cortexolone 17alpha-propionate,T,630448,
,Y,2019-12-03,575618,"4-amino-N-(1-(4-chlorophenyl)-3-hydroxypropyl)-1-(7H-pyrrolo(2,3-d)pyrimidin-4-yl)piperidine-4-carboxamide","4-amino-N-(1-(4-chlorophenyl)-3-hydroxypropyl)-1-(7H-pyrrolo(2,3-d)pyrimidin-4-yl)piperidine-4-carboxamide",P,831358,,575618,capivasertib,"4-amino-N-(1-(4-chlorophenyl)-3-hydroxypropyl)-1-(7H-pyrrolo(2,3-d)pyrimidin-4-yl)piperidine-4-carboxamide",T,831358,
,Y,2019-12-03,624433,MEDI0382,MEDI0382,P,935652,,624433,cotadutide,MEDI0382,T,935652,
,Y,2019-12-03,610954,AZD9150,AZD9150,P,907869,,610954,danvatirsen,AZD9150,T,907869,
,Y,2019-12-03,619734,"(R,E)-N-(7-chloro-1-(1-(4-(dimethylamino)but-2-enoyl)azepan-3-yl)-1H-benzo(d)imidazol-2-yl)-2-methylisonicotinamide","(R,E)-N-(7-chloro-1-(1-(4-(dimethylamino)but-2-enoyl)azepan-3-yl)-1H-benzo(d)imidazol-2-yl)-2-methylisonicotinamide",P,925984,,619734,nazartinib,"(R,E)-N-(7-chloro-1-(1-(4-(dimethylamino)but-2-enoyl)azepan-3-yl)-1H-benzo(d)imidazol-2-yl)-2-methylisonicotinamide",T,925984,
,Y,2019-12-03,523119,"RALDH1 protein, rat","RALDH1 protein, rat",P,706735,,523119,"Aldh1a1 protein, rat","RALDH1 protein, rat",T,706735,
,Y,2019-12-03,610415,"ALK2 protein, rat","ALK2 protein, rat",P,906672,,610415,"Acvr1 protein, rat","ALK2 protein, rat",T,906672,
,Y,2019-12-03,573312,SCH 717454,robatumumab,T,877445,,573312,robatumumab,robatumumab,P,877445,
,Y,2019-12-03,515710,"Ccbp2 protein, rat","Ccbp2 protein, rat",P,687231,,515710,"Ackr2 protein, rat","Ccbp2 protein, rat",T,687231,
,Y,2019-12-03,588246,"Ccdc 172 protein, rat","Ccdc 172 protein, rat",P,859438,,588246,"Ccdc47 protein, rat","Ccdc 172 protein, rat",T,859438,
,Y,2019-12-03,539982,"CD209b protein, rat","CD209b protein, rat",P,749594,,539982,"Clec4m protein, rat","CD209b protein, rat",T,749594,
,Y,2019-12-03,496220,"Cd97 protein, rat","Cd97 protein, rat",P,630315,,496220,"Adgre5 protein, rat","Cd97 protein, rat",T,630315,
,Y,2019-12-03,511591,"Cdo protein, rat","Cdo protein, rat",P,563317,,511591,"Cdon protein, rat","Cdo protein, rat",T,563317,
,Y,2019-12-03,610655,LY3015014,LY3015014,P,907360,,610655,frovocimab,LY3015014,T,907360,
,Y,2019-12-03,569270,Sym004 antibody,Sym004 antibody,P,815943,,569270,futuximab,Sym004 antibody,T,815943,
,Y,2019-12-03,607476,LY2495655,LY2495655,P,900865,,607476,landogrozumab,LY2495655,T,900865,
,Y,2019-12-03,602878,ADC-1013,ADC-1013,P,890784,,602878,mitazalimab,ADC-1013,T,890784,
